%Szakasz_index	x_coord	mesh_density
616	-0.14142098436322104	111223.3570535371
617	-0.14141199645179817	111297.7748972721
618	-0.14140301454506274	111372.11935353125
619	-0.141394038629091	111446.39059097329
620	-0.14138506869001238	111520.58877770492
621	-0.14137610471400927	111594.71408126055
622	-0.1413671466873167	111668.76666823578
623	-0.14135819459622212	111742.74670565121
624	-0.14134924842706498	111816.6543581627
625	-0.14134030816623658	111890.48979115696
626	-0.1413313738001798	111964.25316934858
627	-0.14132244531538868	112037.94465571453
628	-0.1413135226984084	112111.56441390885
629	-0.14130460593583477	112185.1126065049
630	-0.1412956950143141	112258.58939497265
631	-0.14128678992054283	112331.99494070667
632	-0.14127789064126742	112405.32940430893
633	-0.1412689971632839	112478.5929459195
634	-0.14126010947343776	112551.7857251984
635	-0.14125122755862368	112624.90790095532
636	-0.14124235140578523	112697.95963148179
637	-0.1412334810019145	112770.94107417986
638	-0.1412246163340521	112843.85238660204
639	-0.1412157573892867	112916.69372466809
640	-0.1412069041547549	112989.4652447661
641	-0.14119805661764087	113062.16710232188
642	-0.14118921476517626	113134.79945213361
643	-0.14118037858463983	113207.36244799796
644	-0.14117154806335724	113279.85624411418
645	-0.14116272318870074	113352.28099293285
646	-0.1411539039480891	113424.6368476304
647	-0.14114509032898725	113496.92395995464
648	-0.14113628231890604	113569.1424809179
649	-0.14112747990540203	113641.29256221249
650	-0.14111868307607733	113713.37435333022
651	-0.14110989181857914	113785.38800440986
652	-0.14110110612059984	113857.3336644288
653	-0.14109232596987648	113929.21148262346
654	-0.14108355135419076	114001.02160631343
655	-0.1410747822613686	114072.76418376567
656	-0.14106601867928012	114144.43936201769
657	-0.14105726059583928	114216.04728685688
658	-0.14104850799900376	114287.58810533759
659	-0.14103976087677458	114359.06196214643
660	-0.14103101921719607	114430.4690024823
661	-0.14102228300835548	114501.80937059147
662	-0.14101355223838294	114573.08321084209
663	-0.1410048268954511	114644.29066625348
664	-0.14099610696777498	114715.43187993628
665	-0.1409873924436118	114786.50699398374
666	-0.1409786833112606	114857.51615055169
667	-0.14096997955906226	114928.459490747
668	-0.14096128117539913	114999.33715571031
669	-0.14095258814869488	115070.14928550173
670	-0.1409439004674143	115140.89602018626
671	-0.1409352181200631	115211.57749908522
672	-0.14092654109518765	115282.19386075999
673	-0.14091786938137485	115352.74524410366
674	-0.1409092029672519	115423.2317868525
675	-0.1409005418414861	115493.65362593762
676	-0.14089188599278463	115564.01089895132
677	-0.14088323540989445	115634.3037422843
678	-0.14087459008160194	115704.532291107
679	-0.14086594999673285	115774.69668195523
680	-0.14085731514415212	115844.79704900266
681	-0.14084868551276347	115914.83352739176
682	-0.14084006109150948	115984.8062509885
683	-0.14083144186937133	116054.71535311139
684	-0.14082282783536842	116124.56096726595
685	-0.14081421897855845	116194.34322601093
686	-0.1408056152880371	116264.0622613171
687	-0.1407970167529378	116333.71820568004
688	-0.1407884233624317	116403.31118948021
689	-0.14077983510572728	116472.84134397203
690	-0.1407712519720704	116542.30879977085
691	-0.14076267395074404	116611.71368683878
692	-0.1407541010310679	116681.05613409262
693	-0.14074553320239858	116750.33627090088
694	-0.14073697045412914	116819.55422631867
